group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,1109455.0,ns,3
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,2317616.0,ns,6
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,3280664.0,ns,9
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,4539528.0,ns,12
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,5861393.0,ns,15
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,7240162.0,ns,18
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,11513076.0,ns,21
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,11849793.0,ns,24
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,13587580.0,ns,27
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,16373519.0,ns,30
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,16753539.0,ns,33
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,17754888.0,ns,36
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,20620732.0,ns,39
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,23550979.0,ns,42
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,21980299.0,ns,45
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,18193811.0,ns,48
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,27427972.0,ns,51
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,29155959.0,ns,54
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,29602381.0,ns,57
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,29997200.0,ns,60
mate_in_1,,https://lichess.org/analysis/r5q1/pp1b2r1/2p2pk1/2Q5/2Pp4/1P4NP/P4P2/4RK2_w_-,,,32898346.0,ns,63
