group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,1163267.0,ns,2
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,2301934.0,ns,4
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,3794721.0,ns,6
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,4719274.0,ns,8
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,12600333.0,ns,10
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,6755893.0,ns,12
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,8224078.0,ns,14
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,8973921.0,ns,16
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,10540113.0,ns,18
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,13810103.0,ns,20
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,13634693.0,ns,22
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,15290989.0,ns,24
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,16299047.0,ns,26
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,15780017.0,ns,28
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,16934582.0,ns,30
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,19436628.0,ns,32
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,20266276.0,ns,34
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,32528188.0,ns,36
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,17232500.0,ns,38
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,22290293.0,ns,40
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,24349314.0,ns,42
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,25189761.0,ns,44
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,27925621.0,ns,46
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,28481853.0,ns,48
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,28720867.0,ns,50
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,31156808.0,ns,52
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,31873250.0,ns,54
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,32273673.0,ns,56
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,33658054.0,ns,58
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,35098837.0,ns,60
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,38167515.0,ns,62
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,39852013.0,ns,64
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,43017096.0,ns,66
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,47030430.0,ns,68
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,51480488.0,ns,70
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,51746503.0,ns,72
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,53389298.0,ns,74
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,57068112.0,ns,76
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,59084930.0,ns,78
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,58801412.0,ns,80
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,53628213.0,ns,82
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,50565930.0,ns,84
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,50541429.0,ns,86
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,46935319.0,ns,88
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,47342543.0,ns,90
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,53378393.0,ns,92
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,55959742.0,ns,94
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,52658951.0,ns,96
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,55662525.0,ns,98
mate_in_1,,https://lichess.org/analysis/r5rk/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QP2/6RK_w_-,,,64757452.0,ns,100
