group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,1319955.0,ns,2
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,1849678.0,ns,4
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,2783418.0,ns,6
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,3755258.0,ns,8
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,6622379.0,ns,10
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,6458072.0,ns,12
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,7444813.0,ns,14
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,7961236.0,ns,16
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,8654764.0,ns,18
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,9645107.0,ns,20
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,12866942.0,ns,22
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,12403922.0,ns,24
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,14751422.0,ns,26
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,13988789.0,ns,28
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,12036807.0,ns,30
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,13972788.0,ns,32
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,13701978.0,ns,34
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,18545081.0,ns,36
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,17479936.0,ns,38
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,16206183.0,ns,40
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,23765501.0,ns,42
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,21688713.0,ns,44
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,24895649.0,ns,46
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,23640196.0,ns,48
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,27043339.0,ns,50
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,27652065.0,ns,52
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,29165628.0,ns,54
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,28823814.0,ns,56
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,29458241.0,ns,58
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,30235974.0,ns,60
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,32092952.0,ns,62
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,34828267.0,ns,64
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,35131580.0,ns,66
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,35996516.0,ns,68
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,31018606.0,ns,70
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,35582999.0,ns,72
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,38020402.0,ns,74
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,41009827.0,ns,76
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,40094088.0,ns,78
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,47606404.0,ns,80
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,60026128.0,ns,82
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,55390633.0,ns,84
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,49177671.0,ns,86
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,43830845.0,ns,88
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,46849273.0,ns,90
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,55334931.0,ns,92
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,44766685.0,ns,94
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,50745137.0,ns,96
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,52332504.0,ns,98
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,53888169.0,ns,100
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,66586004.0,ns,102
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,62503132.0,ns,104
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,58365958.0,ns,106
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,77041844.0,ns,108
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,62848147.0,ns,110
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,71475910.0,ns,112
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,73980014.0,ns,114
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,73357589.0,ns,116
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,70565470.0,ns,118
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,69272917.0,ns,120
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,67893858.0,ns,122
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,70818582.0,ns,124
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,65541359.0,ns,126
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,71403306.0,ns,128
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,60195034.0,ns,130
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,71051791.0,ns,132
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,73254184.0,ns,134
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,70596872.0,ns,136
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,73024974.0,ns,138
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,78590909.0,ns,140
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,73041974.0,ns,142
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,73862109.0,ns,144
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,73598597.0,ns,146
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,79979867.0,ns,148
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,83979834.0,ns,150
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,84246846.0,ns,152
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,86600545.0,ns,154
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,86975461.0,ns,156
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,82962892.0,ns,158
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,87669990.0,ns,160
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,74061917.0,ns,162
mate_in_1,,https://lichess.org/analysis/r5rk/p2p3p/bp1Np3/4P3/2P2n2/3B1q2/P1PQ4/2K3R1_w_-,,,85918717.0,ns,164
