group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,1473178.0,ns,3
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,2287521.0,ns,6
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,3899107.0,ns,9
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,4557641.0,ns,12
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,5793406.0,ns,15
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,6831962.0,ns,18
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,8085727.0,ns,21
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,9050379.0,ns,24
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,11692818.0,ns,27
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,11551310.0,ns,30
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,12572064.0,ns,33
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,13652322.0,ns,36
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,22324179.0,ns,39
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,19317520.0,ns,42
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,22605794.0,ns,45
mate_in_1,,https://lichess.org/analysis/r5rk/pp1np1bq/2pp4/3P1bN1/2P1N3/1P6/PB2PPBP/3R1RK1_w_-,,,25809163.0,ns,48
