group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,1955867.0,ns,3
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,3002801.0,ns,6
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,4135740.0,ns,9
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,5021369.0,ns,12
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,6384416.0,ns,15
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,8668093.0,ns,18
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,9638826.0,ns,21
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,10400551.0,ns,24
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,11486588.0,ns,27
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,17584495.0,ns,30
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,13993272.0,ns,33
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,14314383.0,ns,36
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,18049910.0,ns,39
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,18315819.0,ns,42
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,19721166.0,ns,45
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,20491791.0,ns,48
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,21715733.0,ns,51
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,23129681.0,ns,54
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,24222917.0,ns,57
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,25167050.0,ns,60
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,26945309.0,ns,63
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,27291521.0,ns,66
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,32805107.0,ns,69
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,32017281.0,ns,72
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,25665366.0,ns,75
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,33191920.0,ns,78
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,43126555.0,ns,81
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,29213986.0,ns,84
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,31052948.0,ns,87
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,37327360.0,ns,90
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,43605471.0,ns,93
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,33861043.0,ns,96
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,40064252.0,ns,99
mate_in_1,,https://lichess.org/analysis/r6k/pp4pp/1b1P4/8/6Q1/2NR1P2/PPq3p1/1RB1K3_b_-,,,40437665.0,ns,102
