group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,1430688.0,ns,3
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,2700165.0,ns,6
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,3953142.0,ns,9
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,5431833.0,ns,12
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,6864420.0,ns,15
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,7953288.0,ns,18
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,10447440.0,ns,21
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,11076678.0,ns,24
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,12427261.0,ns,27
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,13354618.0,ns,30
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,15781167.0,ns,33
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,17698584.0,ns,36
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,20063029.0,ns,39
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,21907342.0,ns,42
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,22939905.0,ns,45
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,23465837.0,ns,48
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,20368348.0,ns,51
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,25936688.0,ns,54
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,26063496.0,ns,57
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,28042218.0,ns,60
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,32612297.0,ns,63
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,32092366.0,ns,66
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,31995360.0,ns,69
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,54303224.0,ns,72
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,29752121.0,ns,75
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,36551437.0,ns,78
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,37960824.0,ns,81
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,38633064.0,ns,84
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,44493323.0,ns,87
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,45857507.0,ns,90
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,52144591.0,ns,93
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,60882926.0,ns,96
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,54030007.0,ns,99
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,44290710.0,ns,102
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,58445177.0,ns,105
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,43250547.0,ns,108
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,51561855.0,ns,111
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,47519409.0,ns,114
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,59665251.0,ns,117
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,57790537.0,ns,120
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,66630678.0,ns,123
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,59505342.0,ns,126
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,59854764.0,ns,129
mate_in_1,,https://lichess.org/analysis/rn1k3r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/4R2K_w_-,,,54083608.0,ns,132
