group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,1198461.0,ns,3
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,1670286.0,ns,6
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,2490929.0,ns,9
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,3334971.0,ns,12
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,5170866.0,ns,15
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,5869403.0,ns,18
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,6348926.0,ns,21
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,7664195.0,ns,24
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,9759902.0,ns,27
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,11157775.0,ns,30
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,10816057.0,ns,33
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,11915413.0,ns,36
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,13088574.0,ns,39
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,14559049.0,ns,42
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,14758060.0,ns,45
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,18802668.0,ns,48
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,16389344.0,ns,51
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,18126533.0,ns,54
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,20020030.0,ns,57
mate_in_1,,https://lichess.org/analysis/rn1qkb1r/4p2p/2p5/p3Np1n/PpBP4/8/1P3PPP/R1B1K2R_w_-,,,21278996.0,ns,60
