group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,1454544.0,ns,3
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,2267869.0,ns,6
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,3496106.0,ns,9
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,4652341.0,ns,12
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,5633970.0,ns,15
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,7080115.0,ns,18
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,8269350.0,ns,21
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,6664202.0,ns,24
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,11081035.0,ns,27
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,13861120.0,ns,30
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,10864029.0,ns,33
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,9197378.0,ns,36
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,13508909.0,ns,39
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,17136019.0,ns,42
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,17068117.0,ns,45
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,15992684.0,ns,48
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,20791129.0,ns,51
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,20180911.0,ns,54
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,23358307.0,ns,57
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,24888454.0,ns,60
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,25881083.0,ns,63
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,29258486.0,ns,66
mate_in_1,,https://lichess.org/analysis/rn2kb1r/ppp1pppp/8/8/4q2n/3P1N1b/PPP1BP1P/RNBQK2R_b_kq,,,27823642.0,ns,69
