group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,1429569.0,ns,3
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,3205953.0,ns,6
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,3113849.0,ns,9
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,4151299.0,ns,12
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,5312254.0,ns,15
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,6351804.0,ns,18
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,7583863.0,ns,21
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,8586411.0,ns,24
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,10110184.0,ns,27
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,10407898.0,ns,30
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,13082226.0,ns,33
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,13145229.0,ns,36
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,13788960.0,ns,39
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,15850058.0,ns,42
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,16274078.0,ns,45
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,18127668.0,ns,48
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,19159117.0,ns,51
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,20292771.0,ns,54
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,21045107.0,ns,57
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,14165778.0,ns,60
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,22212363.0,ns,63
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,24823388.0,ns,66
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,25238007.0,ns,69
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,20513382.0,ns,72
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,26717179.0,ns,75
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,27507816.0,ns,78
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,26845284.0,ns,81
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,32974177.0,ns,84
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,33218989.0,ns,87
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,31908626.0,ns,90
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,32222642.0,ns,93
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,28802377.0,ns,96
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,37678803.0,ns,99
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,39146272.0,ns,102
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,38000818.0,ns,105
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,33768515.0,ns,108
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,33682711.0,ns,111
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,35413394.0,ns,114
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,36164730.0,ns,117
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,37843010.0,ns,120
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,39796704.0,ns,123
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,35981221.0,ns,126
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,52713021.0,ns,129
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,54005083.0,ns,132
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,50492716.0,ns,135
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,51562366.0,ns,138
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,50699225.0,ns,141
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,54002383.0,ns,144
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,60210080.0,ns,147
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,60408689.0,ns,150
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,63252924.0,ns,153
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,62960610.0,ns,156
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,57201335.0,ns,159
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,53459556.0,ns,162
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,59371038.0,ns,165
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,64709694.0,ns,168
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,63220923.0,ns,171
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,63699445.0,ns,174
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,63878754.0,ns,177
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,63995460.0,ns,180
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,62127470.0,ns,183
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,63259925.0,ns,186
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,60780506.0,ns,189
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,69861140.0,ns,192
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,73446611.0,ns,195
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,74818077.0,ns,198
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,73906032.0,ns,201
mate_in_1,,https://lichess.org/analysis/rn5r/p4pp1/3n3p/qB6/3PkN2/4P3/PP3PPP/R4K1R_w_-,,,78459050.0,ns,204
