group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,1590065.0,ns,4
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,2112585.0,ns,8
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,3379036.0,ns,12
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,4297474.0,ns,16
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,5800334.0,ns,20
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,6374157.0,ns,24
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,7438801.0,ns,28
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,10148009.0,ns,32
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,10488223.0,ns,36
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,11447062.0,ns,40
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,13225534.0,ns,44
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,14164872.0,ns,48
mate_in_1,,https://lichess.org/analysis/rnR5/p3pk1p/4p1pn/bpP1B3/6P1/5N1P/2P2P2/2K5_w_-,,,14221774.0,ns,52
