group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,1677159.0,ns,3
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,2424886.0,ns,6
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,3699231.0,ns,9
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,4841671.0,ns,12
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,5990011.0,ns,15
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,9139223.0,ns,18
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,9506136.0,ns,21
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,10647876.0,ns,24
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,11349601.0,ns,27
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,12962158.0,ns,30
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,13840389.0,ns,33
mate_in_1,,https://lichess.org/analysis/rnb2b1r/p4Bp1/3kNn1p/2p1N3/1p2PP2/4B3/Pq5P/4K3_w_-,,,14531013.0,ns,36
