group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,3052697.0,ns,3
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,2828289.0,ns,6
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,4187632.0,ns,9
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,5365169.0,ns,12
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,7669842.0,ns,15
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,8769177.0,ns,18
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,10430430.0,ns,21
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,12817304.0,ns,24
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,12780603.0,ns,27
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,14632762.0,ns,30
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,13818537.0,ns,33
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,13467125.0,ns,36
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,14918471.0,ns,39
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,16535821.0,ns,42
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,20666353.0,ns,45
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,15413286.0,ns,48
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,16246813.0,ns,51
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,18572086.0,ns,54
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,20285941.0,ns,57
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,24465272.0,ns,60
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,23920055.0,ns,63
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,26154725.0,ns,66
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,22059497.0,ns,69
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,25330599.0,ns,72
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,31476194.0,ns,75
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,31487994.0,ns,78
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,29639535.0,ns,81
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,34030874.0,ns,84
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,35266513.0,ns,87
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,37471683.0,ns,90
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,29588634.0,ns,93
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,37518584.0,ns,96
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,38578417.0,ns,99
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,52841066.0,ns,102
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,42235632.0,ns,105
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,41280202.0,ns,108
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,43698278.0,ns,111
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,43469871.0,ns,114
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,44859615.0,ns,117
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,56084769.0,ns,120
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,58843256.0,ns,123
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,66249089.0,ns,126
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,69591495.0,ns,129
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,91924699.0,ns,132
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,71929668.0,ns,135
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,72708893.0,ns,138
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,63639107.0,ns,141
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,59908989.0,ns,144
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,62309965.0,ns,147
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,66566298.0,ns,150
mate_in_1,,https://lichess.org/analysis/rnbkn2r/ppppb1pp/8/3NN3/3Pp3/8/PPP1KP1P/R1B4q_w_-,,,62927482.0,ns,153
