group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,1228683.0,ns,3
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,1650111.0,ns,6
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,2472167.0,ns,9
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,3820658.0,ns,12
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,10902636.0,ns,15
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,7577612.0,ns,18
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,8862099.0,ns,21
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,9999275.0,ns,24
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,11084448.0,ns,27
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,12126319.0,ns,30
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,22134095.0,ns,33
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,12636952.0,ns,36
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,13765026.0,ns,39
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,14986207.0,ns,42
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,16445706.0,ns,45
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,16946839.0,ns,48
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,14604982.0,ns,51
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,19690623.0,ns,54
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,20888204.0,ns,57
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,18728459.0,ns,60
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,20709893.0,ns,63
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,26036550.0,ns,66
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,24920275.0,ns,69
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,25111388.0,ns,72
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,26727297.0,ns,75
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,27441044.0,ns,78
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,26709696.0,ns,81
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,29677895.0,ns,84
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,29005949.0,ns,87
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,30569054.0,ns,90
mate_in_1,,https://lichess.org/analysis/rnbqkbn1/ppppp3/8/6pr/3P1p2/3BP1B1/PPP2PPP/RN2K1NR_w_-,,,38139164.0,ns,93
