group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,1150266.0,ns,2
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,3147578.0,ns,4
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,3430694.0,ns,6
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,4735268.0,ns,8
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,6239153.0,ns,10
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,6610575.0,ns,12
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,7905547.0,ns,14
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,9548141.0,ns,16
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,10593599.0,ns,18
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,11312741.0,ns,20
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,12679617.0,ns,22
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,13643573.0,ns,24
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,14639028.0,ns,26
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,16859455.0,ns,28
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,16752348.0,ns,30
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,18081423.0,ns,32
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,16696045.0,ns,34
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,21825435.0,ns,36
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,21518918.0,ns,38
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,20363753.0,ns,40
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,14460318.0,ns,42
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,23200314.0,ns,44
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,23115008.0,ns,46
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,23338621.0,ns,48
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,26659009.0,ns,50
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,28004386.0,ns,52
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,27125135.0,ns,54
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,23887652.0,ns,56
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,28883535.0,ns,58
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,31314373.0,ns,60
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,31604689.0,ns,62
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,32616946.0,ns,64
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,35179091.0,ns,66
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,34617560.0,ns,68
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,34658162.0,ns,70
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,37374515.0,ns,72
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,39626143.0,ns,74
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,41613056.0,ns,76
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,43650471.0,ns,78
mate_in_1,,https://lichess.org/analysis/rq3rk1/3nnpp1/pb6/6P1/1pB1QP2/4B3/PP6/2KR3R_w_-,,,46002004.0,ns,80
