group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,1576068.0,ns,3
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,2248997.0,ns,6
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,3297842.0,ns,9
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,4496293.0,ns,12
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,5638943.0,ns,15
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,6731489.0,ns,18
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,10222240.0,ns,21
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,9792721.0,ns,24
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,11577898.0,ns,27
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,12114621.0,ns,30
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,13869097.0,ns,33
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,14295115.0,ns,36
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,21296416.0,ns,39
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,17135437.0,ns,42
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,17367847.0,ns,45
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,19546341.0,ns,48
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,19574342.0,ns,51
mate_in_1,,https://lichess.org/analysis/rqb2b1k/3n2pr/p1ppQ2p/1p6/3BP2N/2N4P/PPP3P1/2KR3R_w_-,,,21070706.0,ns,54
