group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,1429576.0,ns,1
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,2373427.0,ns,2
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,3341978.0,ns,3
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,3507787.0,ns,4
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,5399588.0,ns,5
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,6298037.0,ns,6
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,8030028.0,ns,7
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,9770922.0,ns,8
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,7506600.0,ns,9
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,7816418.0,ns,10
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,7442497.0,ns,11
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,9610213.0,ns,12
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,14619980.0,ns,13
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,15071205.0,ns,14
mate_in_2,,https://lichess.org/analysis/1Q6/8/3p1pk1/2pP4/1p3K2/5R2/5qP1/4r3_b_-,,,11890734.0,ns,15
