group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,2221133.0,ns,2
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,4585973.0,ns,4
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,6091064.0,ns,6
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,7677258.0,ns,8
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,10208810.0,ns,10
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,10534429.0,ns,12
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,9438663.0,ns,14
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,10840347.0,ns,16
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,12235430.0,ns,18
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,13504006.0,ns,20
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,22861065.0,ns,22
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,23769819.0,ns,24
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,28896425.0,ns,26
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,24391156.0,ns,28
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,29541063.0,ns,30
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,29282148.0,ns,32
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,28600507.0,ns,34
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,30815239.0,ns,36
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,40528520.0,ns,38
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,39866679.0,ns,40
mate_in_2,,https://lichess.org/analysis/1Q6/r3R2p/k2p2pP/p1q5/Pp4P1/5P2/1PP3K1/8_w_-,,,42176818.0,ns,42
