group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,1153657.0,ns,1
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,2175607.0,ns,2
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,3303062.0,ns,3
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,4479719.0,ns,4
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,5233157.0,ns,5
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,4424717.0,ns,6
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,6113400.0,ns,7
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,8648324.0,ns,8
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,9312156.0,ns,9
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,7522469.0,ns,10
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,8401912.0,ns,11
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,11581768.0,ns,12
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,10669223.0,ns,13
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,16568612.0,ns,14
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,17961081.0,ns,15
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,19719867.0,ns,16
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,18258495.0,ns,17
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,19846172.0,ns,18
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,20391599.0,ns,19
mate_in_2,,https://lichess.org/analysis/1k1r4/pp5R/2p5/P5p1/7b/4Pq2/1PQ2P2/3NK3_b_-,,,21121035.0,ns,20
