group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,1585768.0,ns,1
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,3277440.0,ns,2
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,4900710.0,ns,3
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,6398374.0,ns,4
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,8937582.0,ns,5
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,10400346.0,ns,6
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,11866608.0,ns,7
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,14869236.0,ns,8
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,15296055.0,ns,9
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,17731959.0,ns,10
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,17090532.0,ns,11
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,23059587.0,ns,12
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,21384715.0,ns,13
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,25734802.0,ns,14
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,27238966.0,ns,15
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,25950611.0,ns,16
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,29773375.0,ns,17
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,25447589.0,ns,18
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,31361143.0,ns,19
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,35662726.0,ns,20
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,35989641.0,ns,21
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,35848435.0,ns,22
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,38308840.0,ns,23
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,33934052.0,ns,24
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,43958282.0,ns,25
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,44182192.0,ns,26
mate_in_2,,https://lichess.org/analysis/1k3r2/4R1Q1/p2q1r2/8/2p1Bb2/5R2/pP5P/K7_w_-,,,41597280.0,ns,27
