group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,2005103.0,ns,2
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,3768394.0,ns,4
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,5389678.0,ns,6
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,5079063.0,ns,8
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,7307877.0,ns,10
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,8034015.0,ns,12
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,8965663.0,ns,14
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,10086721.0,ns,16
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,11446091.0,ns,18
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,13787512.0,ns,20
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,13980722.0,ns,22
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,15915322.0,ns,24
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,18386349.0,ns,26
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,23817930.0,ns,28
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,25624823.0,ns,30
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,20931781.0,ns,32
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,22669271.0,ns,34
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,23963436.0,ns,36
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,29470421.0,ns,38
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,32602183.0,ns,40
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,37384429.0,ns,42
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,41444240.0,ns,44
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,37261223.0,ns,46
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,35188016.0,ns,48
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,39780854.0,ns,50
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,46244687.0,ns,52
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,47510252.0,ns,54
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,37132217.0,ns,56
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,39960563.0,ns,58
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,46630907.0,ns,60
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,46962524.0,ns,62
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,54937636.0,ns,64
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,52129990.0,ns,66
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,59339663.0,ns,68
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,54942436.0,ns,70
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,54984238.0,ns,72
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,58521020.0,ns,74
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,61110555.0,ns,76
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,62243713.0,ns,78
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,86301653.0,ns,80
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,85560915.0,ns,82
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,81585109.0,ns,84
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,81262494.0,ns,86
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,71006663.0,ns,88
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,68881155.0,ns,90
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,66803947.0,ns,92
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,75799111.0,ns,94
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,80733266.0,ns,96
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,81040581.0,ns,98
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,75902017.0,ns,100
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,72760354.0,ns,102
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,71551792.0,ns,104
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,80740065.0,ns,106
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,84223844.0,ns,108
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,76809762.0,ns,110
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,79450798.0,ns,112
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,84262846.0,ns,114
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,88173448.0,ns,116
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,94986500.0,ns,118
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,82863374.0,ns,120
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,80319543.0,ns,122
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,80629959.0,ns,124
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,83308597.0,ns,126
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,81921225.0,ns,128
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,93269210.0,ns,130
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,94004847.0,ns,132
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,93251208.0,ns,134
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,97970351.0,ns,136
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,98242166.0,ns,138
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,96734888.0,ns,140
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,120252200.0,ns,142
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,112007275.0,ns,144
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,115273844.0,ns,146
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,126118302.0,ns,148
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,114161484.0,ns,150
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,121474261.0,ns,152
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,122809529.0,ns,154
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,104373879.0,ns,156
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,125593574.0,ns,158
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,131227664.0,ns,160
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,138081517.0,ns,162
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,131944600.0,ns,164
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,134944753.0,ns,166
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,123161346.0,ns,168
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,136330724.0,ns,170
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,135758695.0,ns,172
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,128184604.0,ns,174
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,136122013.0,ns,176
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,137492184.0,ns,178
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,139253773.0,ns,180
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,126964540.0,ns,182
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,173836053.0,ns,184
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,133877396.0,ns,186
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,158826080.0,ns,188
mate_in_2,,https://lichess.org/analysis/1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8_w_-,,,154185141.0,ns,190
