group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,1206646.0,ns,1
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,2354689.0,ns,2
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,4182657.0,ns,3
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,5831220.0,ns,4
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,7413380.0,ns,5
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,9255949.0,ns,6
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,10025078.0,ns,7
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,13325503.0,ns,8
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,13360504.0,ns,9
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,14329140.0,ns,10
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,18160985.0,ns,11
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,18834111.0,ns,12
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,14657253.0,ns,13
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,15610489.0,ns,14
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,26906214.0,ns,15
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,27912453.0,ns,16
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,28454174.0,ns,17
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,27067221.0,ns,18
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,39390785.0,ns,19
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,49328561.0,ns,20
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,51435740.0,ns,21
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,27411334.0,ns,22
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,33383359.0,ns,23
mate_in_2,,https://lichess.org/analysis/1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1_w_-,,,42477503.0,ns,24
