group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,1847116.0,ns,1
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,2667467.0,ns,2
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,3859042.0,ns,3
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,5348635.0,ns,4
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,7546373.0,ns,5
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,7649980.0,ns,6
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,11893046.0,ns,7
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,10372650.0,ns,8
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,11927448.0,ns,9
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,14048581.0,ns,10
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,14143486.0,ns,11
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,15240255.0,ns,12
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,18155938.0,ns,13
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,17773214.0,ns,14
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,20422079.0,ns,15
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,22232894.0,ns,16
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,22097984.0,ns,17
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,24256920.0,ns,18
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,25737813.0,ns,19
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,27020193.0,ns,20
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,26945289.0,ns,21
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,30004680.0,ns,22
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,30875235.0,ns,23
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,29509649.0,ns,24
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,35347115.0,ns,25
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,34771979.0,ns,26
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,36854109.0,ns,27
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,38817233.0,ns,28
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,39929902.0,ns,29
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,37925476.0,ns,30
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,36013957.0,ns,31
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,44838010.0,ns,32
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,42269249.0,ns,33
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,41187781.0,ns,34
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,45931078.0,ns,35
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,55661688.0,ns,36
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,45843572.0,ns,37
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,59174708.0,ns,38
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,58635975.0,ns,39
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,68305579.0,ns,40
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,66109440.0,ns,41
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,63860900.0,ns,42
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,60313977.0,ns,43
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,56192420.0,ns,44
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,49100975.0,ns,45
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,62330104.0,ns,46
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,68189370.0,ns,47
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,62792533.0,ns,48
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,63292864.0,ns,49
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,66409859.0,ns,50
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,67282314.0,ns,51
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,70145093.0,ns,52
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,71506279.0,ns,53
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,77851976.0,ns,54
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,91101704.0,ns,55
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,77421047.0,ns,56
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,75257211.0,ns,57
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,71268961.0,ns,58
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,74023233.0,ns,59
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,79562680.0,ns,60
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,92379883.0,ns,61
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,85310540.0,ns,62
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,87252462.0,ns,63
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,94808034.0,ns,64
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,86181295.0,ns,65
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,88714453.0,ns,66
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,86913739.0,ns,67
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,92355178.0,ns,68
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,75367015.0,ns,69
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,97877924.0,ns,70
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,98351753.0,ns,71
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,98920289.0,ns,72
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,97816420.0,ns,73
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,105421696.0,ns,74
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,106646972.0,ns,75
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,105182281.0,ns,76
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,100229570.0,ns,77
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,97174276.0,ns,78
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,100569089.0,ns,79
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,106903385.0,ns,80
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,102237093.0,ns,81
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,107804741.0,ns,82
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,110296897.0,ns,83
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,123168402.0,ns,84
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,109902473.0,ns,85
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,110818130.0,ns,86
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,104348222.0,ns,87
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,104793149.0,ns,88
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,110407501.0,ns,89
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,115526620.0,ns,90
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,116146859.0,ns,91
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,119839090.0,ns,92
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,121708007.0,ns,93
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,121014664.0,ns,94
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,121302380.0,ns,95
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,119635374.0,ns,96
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,177680399.0,ns,97
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,150910527.0,ns,98
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,138697564.0,ns,99
mate_in_2,,https://lichess.org/analysis/1r2Rr2/3P1p1k/5Rpp/qp6/2pQ4/7P/5PPK/8_w_-,,,117940867.0,ns,100
