group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,2113726.0,ns,2
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,3256695.0,ns,4
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,5950156.0,ns,6
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,6559992.0,ns,8
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,8303497.0,ns,10
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,11007658.0,ns,12
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,14345758.0,ns,14
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,15343018.0,ns,16
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,20606932.0,ns,18
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,19498866.0,ns,20
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,18929232.0,ns,22
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,19658876.0,ns,24
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,24796083.0,ns,26
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,20904550.0,ns,28
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,26171665.0,ns,30
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,24826785.0,ns,32
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,29275851.0,ns,34
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,27657354.0,ns,36
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,39289849.0,ns,38
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,40512623.0,ns,40
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,43033374.0,ns,42
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,49461858.0,ns,44
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,44225545.0,ns,46
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,40028294.0,ns,48
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,52043511.0,ns,50
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,59481655.0,ns,52
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,69054127.0,ns,54
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,56367869.0,ns,56
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,58526498.0,ns,58
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,59096732.0,ns,60
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,60865437.0,ns,62
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,64119633.0,ns,64
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,67201516.0,ns,66
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,72274420.0,ns,68
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,72021505.0,ns,70
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,70279900.0,ns,72
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,66069349.0,ns,74
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,71530775.0,ns,76
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,73031565.0,ns,78
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,72774649.0,ns,80
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,83286175.0,ns,82
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,82782345.0,ns,84
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,76357361.0,ns,86
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,76536172.0,ns,88
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,75388803.0,ns,90
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,87225211.0,ns,92
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,85584912.0,ns,94
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,95766621.0,ns,96
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,96357955.0,ns,98
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,85297696.0,ns,100
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,92661635.0,ns,102
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,98467479.0,ns,104
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,93205665.0,ns,106
mate_in_2,,https://lichess.org/analysis/1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q_w_-,,,103304667.0,ns,108
