group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,2145524.0,ns,1
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,2955270.0,ns,2
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,5282705.0,ns,3
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,6614381.0,ns,4
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,7804950.0,ns,5
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,8891412.0,ns,6
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,10567909.0,ns,7
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,10797422.0,ns,8
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,13473877.0,ns,9
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,14435032.0,ns,10
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,16069426.0,ns,11
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,18619273.0,ns,12
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,18814484.0,ns,13
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,21276026.0,ns,14
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,22162177.0,ns,15
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,24769128.0,ns,16
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,24845831.0,ns,17
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,29846720.0,ns,18
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,29802317.0,ns,19
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,30477656.0,ns,20
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,30913482.0,ns,21
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,34423784.0,ns,22
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,38920343.0,ns,23
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,37507561.0,ns,24
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,37805179.0,ns,25
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,41373984.0,ns,26
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,44298453.0,ns,27
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,34663498.0,ns,28
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,43966133.0,ns,29
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,54735654.0,ns,30
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,52847044.0,ns,31
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,57976340.0,ns,32
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,51788783.0,ns,33
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,59842448.0,ns,34
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,60065360.0,ns,35
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,61734656.0,ns,36
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,57070287.0,ns,37
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,59536430.0,ns,38
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,59054302.0,ns,39
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,62387394.0,ns,40
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,65563577.0,ns,41
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,60066960.0,ns,42
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,61924167.0,ns,43
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,59852548.0,ns,44
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,69695915.0,ns,45
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,68656555.0,ns,46
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,72839994.0,ns,47
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,75397442.0,ns,48
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,90090787.0,ns,49
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,74575694.0,ns,50
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,75427644.0,ns,51
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,76632112.0,ns,52
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,79792395.0,ns,53
mate_in_2,,https://lichess.org/analysis/1r3b2/1bp2pkp/p1q4N/1p1n1pBn/8/2P3QP/PPB2PP1/4R1K1_w_-,,,87264225.0,ns,54
