group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,1421870.0,ns,1
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,2825839.0,ns,2
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,4358015.0,ns,3
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,5749184.0,ns,4
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,5486771.0,ns,5
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,7301360.0,ns,6
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,6609826.0,ns,7
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,8699230.0,ns,8
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,8498419.0,ns,9
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,10933039.0,ns,10
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,12440814.0,ns,11
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,11720579.0,ns,12
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,14808530.0,ns,13
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,14863934.0,ns,14
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,20082691.0,ns,15
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,20645618.0,ns,16
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,20160495.0,ns,17
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,23745572.0,ns,18
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,20420807.0,ns,19
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,19410558.0,ns,20
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,24118190.0,ns,21
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,31038431.0,ns,22
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,25199844.0,ns,23
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,28041883.0,ns,24
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,25150141.0,ns,25
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,26038485.0,ns,26
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,30903324.0,ns,27
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,35883071.0,ns,28
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,35259740.0,ns,29
mate_in_2,,https://lichess.org/analysis/1r3r1k/qp5p/3N4/3p2Q1/p6P/P7/1b6/1KR3R1_w_-,,,32265992.0,ns,30
