group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,1760183.0,ns,1
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,3703775.0,ns,2
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,6567509.0,ns,3
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,7690863.0,ns,4
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,10451593.0,ns,5
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,11448540.0,ns,6
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,14078164.0,ns,7
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,16737889.0,ns,8
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,15749143.0,ns,9
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,18387567.0,ns,10
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,17984948.0,ns,11
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,18368266.0,ns,12
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,20824582.0,ns,13
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,20210353.0,ns,14
mate_in_2,,https://lichess.org/analysis/1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R_w_-,,,23607713.0,ns,15
