group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,2306342.0,ns,1
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,2554858.0,ns,2
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,5002008.0,ns,3
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,7010732.0,ns,4
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,9659896.0,ns,5
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,10497247.0,ns,6
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,10122824.0,ns,7
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,12118447.0,ns,8
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,13549635.0,ns,9
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,14001663.0,ns,10
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,17717692.0,ns,11
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,20853585.0,ns,12
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,24310498.0,ns,13
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,26497933.0,ns,14
mate_in_2,,https://lichess.org/analysis/1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K_b_-,,,20643073.0,ns,15
