group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,1612179.0,ns,1
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,2961645.0,ns,2
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,3077952.0,ns,3
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,5584774.0,ns,4
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,4899241.0,ns,5
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,5945692.0,ns,6
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,6968742.0,ns,7
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,9493767.0,ns,8
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,12367107.0,ns,9
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,11244852.0,ns,10
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,15918382.0,ns,11
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,17887678.0,ns,12
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,20006383.0,ns,13
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,22617311.0,ns,14
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,22993430.0,ns,15
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,22377799.0,ns,16
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,22432302.0,ns,17
mate_in_2,,https://lichess.org/analysis/1r5k/3b3p/3p3b/2qPp3/Pnp4P/Q1N5/8/K5RR_b_-,,,23468853.0,ns,18
