group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,1443302.0,ns,27
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,1891702.0,ns,54
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,3081904.0,ns,81
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,3842605.0,ns,108
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,4801005.0,ns,135
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,5923107.0,ns,162
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,6986709.0,ns,189
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,7852609.0,ns,216
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,8941411.0,ns,243
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,9650611.0,ns,270
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,10472513.0,ns,297
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,11886514.0,ns,324
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,12626215.0,ns,351
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,13506916.0,ns,378
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,14435617.0,ns,405
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,15552119.0,ns,432
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,17022120.0,ns,459
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,17868922.0,ns,486
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,18534122.0,ns,513
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,20187424.0,ns,540
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,23579728.0,ns,567
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,22759827.0,ns,594
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,23055627.0,ns,621
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,25990131.0,ns,648
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,24333729.0,ns,675
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,25305431.0,ns,702
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,26158131.0,ns,729
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,28612034.0,ns,756
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,29500735.0,ns,783
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,29337735.0,ns,810
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,29942636.0,ns,837
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,32010738.0,ns,864
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,32746539.0,ns,891
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,32774639.0,ns,918
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,33482840.0,ns,945
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,35279742.0,ns,972
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,36067443.0,ns,999
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,39802147.0,ns,1026
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,39515648.0,ns,1053
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,39020046.0,ns,1080
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,39615947.0,ns,1107
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,40011548.0,ns,1134
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,43952652.0,ns,1161
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,44382353.0,ns,1188
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,47846457.0,ns,1215
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,48110558.0,ns,1242
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,45036853.0,ns,1269
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,46529356.0,ns,1296
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,49133559.0,ns,1323
mate_in_2,,https://lichess.org/analysis/1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K_w_-,,,54698565.0,ns,1350
