group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,1574886.0,ns,1
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,2142817.0,ns,2
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,3016065.0,ns,3
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,3634298.0,ns,4
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,4207730.0,ns,5
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,6289944.0,ns,6
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,9865739.0,ns,7
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,9839738.0,ns,8
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,10819492.0,ns,9
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,10178956.0,ns,10
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,9319009.0,ns,11
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,16686512.0,ns,12
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,16384996.0,ns,13
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,13031012.0,ns,14
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,16101980.0,ns,15
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,20730133.0,ns,16
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,20590925.0,ns,17
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,15702158.0,ns,18
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,20701432.0,ns,19
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,21697786.0,ns,20
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,18119590.0,ns,21
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,19955491.0,ns,22
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,26522449.0,ns,23
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,34042061.0,ns,24
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,24358931.0,ns,25
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,25056069.0,ns,26
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,32335567.0,ns,27
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,32920298.0,ns,28
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,36439891.0,ns,29
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,37398544.0,ns,30
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,33137210.0,ns,31
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,32220461.0,ns,32
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,28185039.0,ns,33
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,32623082.0,ns,34
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,35450237.0,ns,35
mate_in_2,,https://lichess.org/analysis/2Q5/1p3p2/3b1k1p/3Pp3/4B1R1/4q1P1/r4PK1/8_w_-,,,39956883.0,ns,36
