group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,2157399.0,ns,1
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,3058640.0,ns,2
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,4173091.0,ns,3
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,4134389.0,ns,4
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,6450895.0,ns,5
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,6313689.0,ns,6
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,7569846.0,ns,7
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,10229068.0,ns,8
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,13405913.0,ns,9
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,13149801.0,ns,10
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,12156556.0,ns,11
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,15075189.0,ns,12
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,18268836.0,ns,13
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,17338492.0,ns,14
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,19002569.0,ns,15
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,20784751.0,ns,16
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,22758741.0,ns,17
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,23872191.0,ns,18
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,31543643.0,ns,19
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,28534804.0,ns,20
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,28755615.0,ns,21
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,31215228.0,ns,22
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,31061320.0,ns,23
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,42202430.0,ns,24
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,39636112.0,ns,25
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,34814692.0,ns,26
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,36040948.0,ns,27
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,35979446.0,ns,28
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,37981036.0,ns,29
mate_in_2,,https://lichess.org/analysis/2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K_w_-,,,39879024.0,ns,30
