group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,1656684.0,ns,1
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,2095706.0,ns,2
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,3334569.0,ns,3
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,4157411.0,ns,4
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,5195664.0,ns,5
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,6317220.0,ns,6
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,7278869.0,ns,7
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,8350824.0,ns,8
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,9340974.0,ns,9
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,11421379.0,ns,10
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,11487683.0,ns,11
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,12539836.0,ns,12
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,13512585.0,ns,13
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,16174021.0,ns,14
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,16163919.0,ns,15
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,21155473.0,ns,16
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,22020616.0,ns,17
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,22020017.0,ns,18
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,23108372.0,ns,19
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,23969015.0,ns,20
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,23614498.0,ns,21
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,25545895.0,ns,22
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,27642302.0,ns,23
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,26663352.0,ns,24
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,34312239.0,ns,25
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,33889119.0,ns,26
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,23556094.0,ns,27
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,29096676.0,ns,28
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,31573101.0,ns,29
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,30142628.0,ns,30
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,33538101.0,ns,31
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,36686660.0,ns,32
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,40039430.0,ns,33
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,42415451.0,ns,34
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,45027283.0,ns,35
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,43344298.0,ns,36
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,38362845.0,ns,37
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,31098577.0,ns,38
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,42848772.0,ns,39
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,49753023.0,ns,40
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,52939884.0,ns,41
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,47143591.0,ns,42
mate_in_2,,https://lichess.org/analysis/2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1_w_-,,,47859927.0,ns,43
