group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,1794991.0,ns,1
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,2037003.0,ns,2
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,3031454.0,ns,3
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,4033905.0,ns,4
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,5047257.0,ns,5
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,6635737.0,ns,6
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,7083460.0,ns,7
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,9062961.0,ns,8
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,9074361.0,ns,9
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,10702444.0,ns,10
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,11150567.0,ns,11
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,13198771.0,ns,12
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,13670294.0,ns,13
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,14787252.0,ns,14
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,16451336.0,ns,15
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,16032115.0,ns,16
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,17127271.0,ns,17
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,17622495.0,ns,18
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,23743207.0,ns,19
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,24351538.0,ns,20
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,22803659.0,ns,21
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,25585400.0,ns,22
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,27538100.0,ns,23
mate_in_2,,https://lichess.org/analysis/2b3k1/6p1/p2bp2r/1p1p4/3Np1B1/1PP1PRq1/P1R3P1/3Q2K1_b_-,,,25023672.0,ns,24
