group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,1972085.0,ns,1
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,4368188.0,ns,2
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,5550339.0,ns,3
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,7254612.0,ns,4
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,7815337.0,ns,5
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,10215240.0,ns,6
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,9316101.0,ns,7
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,12249427.0,ns,8
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,13213069.0,ns,9
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,16254999.0,ns,10
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,14754635.0,ns,11
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,19534541.0,ns,12
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,21535327.0,ns,13
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,23196499.0,ns,14
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,24947373.0,ns,15
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,26456539.0,ns,16
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,28339520.0,ns,17
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,28442124.0,ns,18
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,26216428.0,ns,19
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,26425437.0,ns,20
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,29473368.0,ns,21
mate_in_2,,https://lichess.org/analysis/2b5/k2n1p2/p2q4/5R1B/2p4P/P1b5/KPQ1R3/6r1_b_-,,,28952747.0,ns,22
