group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,1465371.0,ns,1
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,3042047.0,ns,2
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,4541020.0,ns,3
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,8640017.0,ns,4
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,8979734.0,ns,5
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,9534960.0,ns,6
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,11210842.0,ns,7
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,12507404.0,ns,8
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,11795670.0,ns,9
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,16251485.0,ns,10
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,14424797.0,ns,11
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,13374046.0,ns,12
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,17382440.0,ns,13
mate_in_2,,https://lichess.org/analysis/2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K_b_-,,,21210324.0,ns,14
