group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,2112978.0,ns,1
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,3002212.0,ns,2
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,4489067.0,ns,3
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,6154928.0,ns,4
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,7467778.0,ns,5
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,9975871.0,ns,6
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,11645332.0,ns,7
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,11984946.0,ns,8
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,13850415.0,ns,9
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,15265967.0,ns,10
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,16545415.0,ns,11
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,20287354.0,ns,12
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,19469023.0,ns,13
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,22232527.0,ns,14
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,23106858.0,ns,15
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,25128534.0,ns,16
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,26050868.0,ns,17
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,28838272.0,ns,18
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,30170521.0,ns,19
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,30118620.0,ns,20
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,33330538.0,ns,21
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,31896286.0,ns,22
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,39036450.0,ns,23
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,39227658.0,ns,24
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,38165619.0,ns,25
mate_in_2,,https://lichess.org/analysis/2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1_w_-,,,38186919.0,ns,26
