group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,48168926.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,45554406.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,44334749.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,45146587.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,48626547.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,47267085.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,45665810.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,47232883.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,48430339.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,48091022.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,40013449.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,48228429.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,41816133.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,35918860.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,41049797.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,38823294.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,39265015.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,42323056.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,35342733.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,35230329.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,39294716.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,44520657.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,41719928.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,41707928.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,41283408.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,37943753.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,38104361.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,46564652.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,43286700.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,40754884.0,ns,25
mate_in_2,,https://lichess.org/analysis/2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K_w_-,,,37885750.0,ns,25
