group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,1505476.0,ns,1
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,2358419.0,ns,2
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,3296967.0,ns,3
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,4086506.0,ns,4
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,5627885.0,ns,5
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,8495329.0,ns,6
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,8202514.0,ns,7
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,9741693.0,ns,8
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,9419076.0,ns,9
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,12872650.0,ns,10
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,14843050.0,ns,11
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,17829401.0,ns,12
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,15662892.0,ns,13
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,15554086.0,ns,14
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,23438184.0,ns,15
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,23980512.0,ns,16
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,27486288.0,ns,17
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,23527889.0,ns,18
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,22802353.0,ns,19
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,24650245.0,ns,20
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,24019114.0,ns,21
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,26642746.0,ns,22
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,32938264.0,ns,23
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,33234980.0,ns,24
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,36005019.0,ns,25
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,35899414.0,ns,26
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,37483494.0,ns,27
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,42153530.0,ns,28
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,44350141.0,ns,29
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,45398394.0,ns,30
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,41530599.0,ns,31
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,43329789.0,ns,32
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,44302739.0,ns,33
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,42433344.0,ns,34
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,41786711.0,ns,35
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,48452849.0,ns,36
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,46597754.0,ns,37
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,45613405.0,ns,38
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,53363396.0,ns,39
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,54400048.0,ns,40
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,52131134.0,ns,41
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,56911875.0,ns,42
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,57032881.0,ns,43
mate_in_2,,https://lichess.org/analysis/2r3k1/3b2b1/5pp1/3P4/pB2P3/2NnqN2/1P2B2Q/5K1R_b_-,,,60461055.0,ns,44
