group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,1506665.0,ns,1
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,2865424.0,ns,2
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,3900168.0,ns,3
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,5063519.0,ns,4
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,7224712.0,ns,5
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,7488224.0,ns,6
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,10354948.0,ns,7
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,8564771.0,ns,8
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,10182040.0,ns,9
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,10933274.0,ns,10
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,12257130.0,ns,11
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,14018806.0,ns,12
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,13980205.0,ns,13
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,15142156.0,ns,14
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,22006752.0,ns,15
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,17548259.0,ns,16
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,23204104.0,ns,17
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,26282837.0,ns,18
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,29137261.0,ns,19
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,28746644.0,ns,20
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,26735157.0,ns,21
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,24214647.0,ns,22
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,25385599.0,ns,23
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,26022225.0,ns,24
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,31807277.0,ns,25
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,37606727.0,ns,26
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,34032872.0,ns,27
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,32918824.0,ns,28
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,33098732.0,ns,29
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,32492806.0,ns,30
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,36845294.0,ns,31
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,34564296.0,ns,32
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,38304057.0,ns,33
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,44625731.0,ns,34
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,45261058.0,ns,35
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,47008434.0,ns,36
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,43580685.0,ns,37
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,43556085.0,ns,38
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,46534313.0,ns,39
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,44184412.0,ns,40
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,45342062.0,ns,41
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,66089259.0,ns,42
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,45405464.0,ns,43
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,54300950.0,ns,44
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,59363668.0,ns,45
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,45304660.0,ns,46
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,54761269.0,ns,47
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,63088230.0,ns,48
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,56060725.0,ns,49
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,50932304.0,ns,50
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,53074196.0,ns,51
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,53764226.0,ns,52
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,60935236.0,ns,53
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,60942537.0,ns,54
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,60758928.0,ns,55
mate_in_2,,https://lichess.org/analysis/2r3k1/6pp/4pp2/3bp3/1Pq5/3R1P2/r1PQ2PP/1K1RN3_b_-,,,60323310.0,ns,56
