group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,1745277.0,ns,1
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,2273300.0,ns,2
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,3525555.0,ns,3
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,4534300.0,ns,4
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,5630048.0,ns,5
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,8018853.0,ns,6
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,8372069.0,ns,7
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,9135502.0,ns,8
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,10220550.0,ns,9
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,11251396.0,ns,10
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,13641200.0,ns,11
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,13631001.0,ns,12
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,14826953.0,ns,13
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,16549928.0,ns,14
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,18209702.0,ns,15
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,18736225.0,ns,16
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,20607908.0,ns,17
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,20482002.0,ns,18
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,21471845.0,ns,19
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,23834950.0,ns,20
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,23737745.0,ns,21
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,29654706.0,ns,22
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,27794724.0,ns,23
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,26603671.0,ns,24
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,27774123.0,ns,25
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,26675775.0,ns,26
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,30839058.0,ns,27
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,30865759.0,ns,28
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,38904313.0,ns,29
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,37834066.0,ns,30
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,36302899.0,ns,31
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,36245196.0,ns,32
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,38790508.0,ns,33
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,40776795.0,ns,34
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,42490471.0,ns,35
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,42978493.0,ns,36
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,47435489.0,ns,37
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,50949843.0,ns,38
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,48822650.0,ns,39
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,53242344.0,ns,40
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,48514637.0,ns,41
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,47532993.0,ns,42
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,50971444.0,ns,43
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,54296191.0,ns,44
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,52822925.0,ns,45
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,56821702.0,ns,46
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,54111083.0,ns,47
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,57330424.0,ns,48
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,63447993.0,ns,49
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,72086673.0,ns,50
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,61462106.0,ns,51
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,60377458.0,ns,52
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,58696485.0,ns,53
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,61101490.0,ns,54
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,59483019.0,ns,55
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,64894157.0,ns,56
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,67282763.0,ns,57
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,66598132.0,ns,58
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,59428816.0,ns,59
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,64274430.0,ns,60
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,71226736.0,ns,61
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,79291191.0,ns,62
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,74909398.0,ns,63
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,83725986.0,ns,64
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,83544978.0,ns,65
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,82445530.0,ns,66
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,80593648.0,ns,67
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,85145348.0,ns,68
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,83326969.0,ns,69
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,82293423.0,ns,70
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,89571943.0,ns,71
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,77938531.0,ns,72
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,96654655.0,ns,73
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,89309532.0,ns,74
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,100205111.0,ns,75
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,109530822.0,ns,76
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,115741695.0,ns,77
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,97788605.0,ns,78
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,103600361.0,ns,79
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,95151188.0,ns,80
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,104803514.0,ns,81
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,103882573.0,ns,82
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,102391007.0,ns,83
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,103455553.0,ns,84
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,117449269.0,ns,85
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,107415529.0,ns,86
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,103119739.0,ns,87
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,110619269.0,ns,88
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,103688764.0,ns,89
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,113843911.0,ns,90
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,109474919.0,ns,91
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,117645778.0,ns,92
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,118927434.0,ns,93
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,138752807.0,ns,94
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,117143556.0,ns,95
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,118199103.0,ns,96
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,128593260.0,ns,97
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,124586883.0,ns,98
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,125310615.0,ns,99
mate_in_2,,https://lichess.org/analysis/2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8_w_-,,,119884676.0,ns,100
