group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,1533967.0,ns,1
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,2939228.0,ns,2
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,5160026.0,ns,3
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,5839555.0,ns,4
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,6973805.0,ns,5
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,8134755.0,ns,6
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,8096054.0,ns,7
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,10339452.0,ns,8
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,10482858.0,ns,9
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,11541804.0,ns,10
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,12766157.0,ns,11
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,14526935.0,ns,12
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,15062658.0,ns,13
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,16713430.0,ns,14
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,18344202.0,ns,15
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,18620913.0,ns,16
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,20833110.0,ns,17
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,24092953.0,ns,18
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,31685984.0,ns,19
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,33641870.0,ns,20
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,33666171.0,ns,21
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,54707089.0,ns,22
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,35254241.0,ns,23
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,32454617.0,ns,24
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,25477713.0,ns,25
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,30474432.0,ns,26
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,30351726.0,ns,27
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,35472349.0,ns,28
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,37301030.0,ns,29
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,30993354.0,ns,30
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,33581367.0,ns,31
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,39017004.0,ns,32
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,47709284.0,ns,33
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,44021423.0,ns,34
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,41922832.0,ns,35
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,43475999.0,ns,36
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,44762955.0,ns,37
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,45446385.0,ns,38
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,49921481.0,ns,39
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,56573371.0,ns,40
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,52112777.0,ns,41
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,59690607.0,ns,42
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,56282359.0,ns,43
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,57522813.0,ns,44
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,53964157.0,ns,45
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,55537726.0,ns,46
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,59960319.0,ns,47
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,50880523.0,ns,48
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,50476805.0,ns,49
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,59276689.0,ns,50
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,53575040.0,ns,51
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,73763622.0,ns,52
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,59426596.0,ns,53
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,68386187.0,ns,54
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,75876414.0,ns,55
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,70860995.0,ns,56
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,68780004.0,ns,57
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,72308158.0,ns,58
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,73888028.0,ns,59
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,84053571.0,ns,60
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,73126094.0,ns,61
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,79302164.0,ns,62
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,79821386.0,ns,63
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,84011369.0,ns,64
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,74065335.0,ns,65
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,92010819.0,ns,66
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,73741020.0,ns,67
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,83625453.0,ns,68
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,84786403.0,ns,69
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,72794579.0,ns,70
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,87513622.0,ns,71
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,87087303.0,ns,72
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,88650872.0,ns,73
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,102996198.0,ns,74
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,99945365.0,ns,75
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,96103297.0,ns,76
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,94677635.0,ns,77
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,94646433.0,ns,78
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,89301800.0,ns,79
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,105225596.0,ns,80
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,102792489.0,ns,81
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,108027618.0,ns,82
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,119136303.0,ns,83
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,109630488.0,ns,84
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,101987254.0,ns,85
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,103263909.0,ns,86
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,117644038.0,ns,87
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,128325104.0,ns,88
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,127114751.0,ns,89
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,115429841.0,ns,90
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,125515581.0,ns,91
mate_in_2,,https://lichess.org/analysis/2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR_w_-,,,150992894.0,ns,92
