group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,1451966.0,ns,1
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,2709524.0,ns,2
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,3968180.0,ns,3
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,4354798.0,ns,4
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,4640611.0,ns,5
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,8832302.0,ns,6
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,9534234.0,ns,7
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,12262657.0,ns,8
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,11884641.0,ns,9
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,14155544.0,ns,10
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,12663076.0,ns,11
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,16236838.0,ns,12
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,18089623.0,ns,13
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,18854257.0,ns,14
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,20044212.0,ns,15
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,17403292.0,ns,16
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,29419438.0,ns,17
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,24736225.0,ns,18
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,18726851.0,ns,19
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,19003565.0,ns,20
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,31925152.0,ns,21
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,31430929.0,ns,22
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,28001774.0,ns,23
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,27154434.0,ns,24
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,33471223.0,ns,25
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,36352753.0,ns,26
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,34377663.0,ns,27
mate_in_2,,https://lichess.org/analysis/3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1_w_-,,,37394400.0,ns,28
