group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,1393575.0,ns,1
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,2078913.0,ns,2
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,2755049.0,ns,3
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,4963568.0,ns,4
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,6125631.0,ns,5
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,7486205.0,ns,6
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,6383745.0,ns,7
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,9588519.0,ns,8
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,8249346.0,ns,9
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,9077691.0,ns,10
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,13293519.0,ns,11
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,12817793.0,ns,12
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,18774915.0,ns,13
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,13233216.0,ns,14
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,23998198.0,ns,15
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,21811979.0,ns,16
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,19939578.0,ns,17
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,24904746.0,ns,18
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,20842227.0,ns,19
mate_in_2,,https://lichess.org/analysis/3n1k2/5p2/2p1bb2/1p2pN1q/1P2P3/2P3Q1/5PB1/3R2K1_w_-,,,25202063.0,ns,20
