group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,2643814.0,ns,1
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,2746418.0,ns,2
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,5179722.0,ns,3
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,6286369.0,ns,4
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,10122034.0,ns,5
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,11134077.0,ns,6
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,13110162.0,ns,7
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,14015701.0,ns,8
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,13931597.0,ns,9
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,13958098.0,ns,10
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,15616869.0,ns,11
mate_in_2,,https://lichess.org/analysis/3nk1r1/1pq4p/p3PQpB/5p2/2r5/8/P4PPP/3RR1K1_w_-,,,25474092.0,ns,12
