group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,1884182.0,ns,1
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,2542812.0,ns,2
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,3776465.0,ns,3
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,4900214.0,ns,4
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,7729038.0,ns,5
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,10775672.0,ns,6
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,12503347.0,ns,7
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,14261024.0,ns,8
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,14435231.0,ns,9
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,17292457.0,ns,10
mate_in_2,,https://lichess.org/analysis/3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2_w_-,,,16847637.0,ns,11
