group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43942739.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42088547.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42069947.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43254505.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,46657270.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,55330092.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,63647596.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,51574109.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43511617.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42748279.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,47370805.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43805831.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42834184.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,44307256.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43549918.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,56918070.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45167597.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,38159157.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42902687.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,46134244.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,40409566.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,40085150.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,38689482.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43613322.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,41159702.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,44023342.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,41619825.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45064092.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45327105.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42950489.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,40702080.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,44349458.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,44850181.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42171152.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42183652.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45539915.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42815583.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43086796.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,41674227.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43228003.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,47835727.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43521717.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45927535.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,44295954.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45753726.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42873786.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,39840138.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43297106.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,40752182.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,41998243.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42326859.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,40785084.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45076092.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45156797.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,38517873.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,41279408.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,39394616.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,37609330.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,37527225.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,37094504.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,38098954.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,38130254.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42914388.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,38275561.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,41691728.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45759226.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,47767424.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43235403.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,40354962.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,40025447.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,37179709.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,38504573.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45351006.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,39652928.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,41703028.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,37640831.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,44094945.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43357808.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43122198.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42639873.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43056995.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43321106.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,41459517.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42520168.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,40097450.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,40084850.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,89862570.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,49123589.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,46475060.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45928233.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,41841635.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,44228351.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,47856928.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,43233502.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,44690673.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,40117851.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,37940945.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,39554424.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,42559969.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/6pp/1nQ1R3/3r4/3N2q1/6N1/n4PPP/4R1K1_w_-,,,45348906.0,ns,21
