group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,1770886.0,ns,1
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,2700932.0,ns,2
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,5720979.0,ns,3
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,6861834.0,ns,4
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,8719225.0,ns,5
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,14252695.0,ns,6
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,10831028.0,ns,7
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,12388503.0,ns,8
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,11699971.0,ns,9
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,17362746.0,ns,10
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,18517102.0,ns,11
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,17650060.0,ns,12
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,19711560.0,ns,13
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,22976819.0,ns,14
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,19980874.0,ns,15
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,22534699.0,ns,16
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,24719304.0,ns,17
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,28744001.0,ns,18
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,25522444.0,ns,19
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,28860507.0,ns,20
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,30825102.0,ns,21
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,31904455.0,ns,22
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,32720795.0,ns,23
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,36922600.0,ns,24
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,45131499.0,ns,25
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,40294064.0,ns,26
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,40025551.0,ns,27
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,39224912.0,ns,28
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,39791839.0,ns,29
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,39996450.0,ns,30
mate_in_2,,https://lichess.org/analysis/3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1_w_-,,,44773582.0,ns,31
