group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,1594678.0,ns,1
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,2939043.0,ns,2
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,2986946.0,ns,3
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,3718381.0,ns,4
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,4786633.0,ns,5
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,6020094.0,ns,6
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,8217400.0,ns,7
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,7967688.0,ns,8
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,8605719.0,ns,9
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,11501161.0,ns,10
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,16359798.0,ns,11
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,13293748.0,ns,12
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,14391401.0,ns,13
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,16331396.0,ns,14
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,18076181.0,ns,15
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,23556349.0,ns,16
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,19769263.0,ns,17
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,19991975.0,ns,18
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,23352338.0,ns,19
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,24533596.0,ns,20
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,32049662.0,ns,21
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,29904358.0,ns,22
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,28892608.0,ns,23
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,39801240.0,ns,24
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,39524627.0,ns,25
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,43455818.0,ns,26
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,37803343.0,ns,27
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,41239410.0,ns,28
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,40163757.0,ns,29
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,39924547.0,ns,30
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,39110706.0,ns,31
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,40603879.0,ns,32
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,40800389.0,ns,33
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,45188802.0,ns,34
mate_in_2,,https://lichess.org/analysis/3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1_w_-,,,48842980.0,ns,35
