group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,1735966.0,ns,1
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,2722303.0,ns,2
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,3943849.0,ns,3
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,6368141.0,ns,4
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,7204172.0,ns,5
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,8574725.0,ns,6
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,10064181.0,ns,7
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,11408231.0,ns,8
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,13027592.0,ns,9
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,17457660.0,ns,10
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,17338756.0,ns,11
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,16565027.0,ns,12
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,20013857.0,ns,13
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,21063897.0,ns,14
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,16755034.0,ns,15
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,17941078.0,ns,16
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,19396634.0,ns,17
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,21528215.0,ns,18
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,21679320.0,ns,19
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,23462388.0,ns,20
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,23166777.0,ns,21
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,25782075.0,ns,22
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,26482402.0,ns,23
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,29510917.0,ns,24
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,27847954.0,ns,25
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,41679877.0,ns,26
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,37996637.0,ns,27
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,34455604.0,ns,28
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,38123043.0,ns,29
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,35626348.0,ns,30
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,38974374.0,ns,31
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,42036290.0,ns,32
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,38511257.0,ns,33
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,38773667.0,ns,34
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,40871447.0,ns,35
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,43755356.0,ns,36
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,45538223.0,ns,37
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,43872560.0,ns,38
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,43935962.0,ns,39
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,49709381.0,ns,40
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,53309817.0,ns,41
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,48904851.0,ns,42
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,49172160.0,ns,43
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,51067732.0,ns,44
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,58276304.0,ns,45
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,67021036.0,ns,46
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,62418162.0,ns,47
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,46485159.0,ns,48
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,62397861.0,ns,49
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,64591443.0,ns,50
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,58010295.0,ns,51
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,53868738.0,ns,52
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,54054046.0,ns,53
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,58655919.0,ns,54
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,58992032.0,ns,55
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,65930294.0,ns,56
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,80513247.0,ns,57
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,96610155.0,ns,58
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,82728830.0,ns,59
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,77913548.0,ns,60
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,66557418.0,ns,61
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,73337675.0,ns,62
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,75036338.0,ns,63
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,76383289.0,ns,64
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,77066516.0,ns,65
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,64753650.0,ns,66
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,79945824.0,ns,67
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,77515132.0,ns,68
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,81728792.0,ns,69
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,88253839.0,ns,70
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,98179215.0,ns,71
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,93400733.0,ns,72
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,72897558.0,ns,73
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,86276264.0,ns,74
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,91857875.0,ns,75
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,94714383.0,ns,76
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,98462125.0,ns,77
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,98496526.0,ns,78
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,96244741.0,ns,79
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,102694285.0,ns,80
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,98179415.0,ns,81
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,102103262.0,ns,82
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,105284383.0,ns,83
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,102372373.0,ns,84
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,97012869.0,ns,85
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,103264406.0,ns,86
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,97090973.0,ns,87
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,105471990.0,ns,88
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,106692636.0,ns,89
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,103471914.0,ns,90
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,113021975.0,ns,91
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,116850820.0,ns,92
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,161012390.0,ns,93
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,155138068.0,ns,94
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,143598832.0,ns,95
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,143051811.0,ns,96
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,130147923.0,ns,97
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,115145956.0,ns,98
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,113910809.0,ns,99
mate_in_2,,https://lichess.org/analysis/4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4_w_k,,,139040659.0,ns,100
