group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,1804579.0,ns,1
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,2201396.0,ns,2
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,3275142.0,ns,3
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,4449294.0,ns,4
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,5572243.0,ns,5
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,6576187.0,ns,6
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,7721336.0,ns,7
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,8753382.0,ns,8
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,9911232.0,ns,9
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,13528189.0,ns,10
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,13286479.0,ns,11
mate_in_2,,https://lichess.org/analysis/4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K_w_-,,,14156417.0,ns,12
