group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,1621183.0,ns,1
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,2101708.0,ns,2
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,3918600.0,ns,3
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,5615587.0,ns,4
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,5158664.0,ns,5
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,6227819.0,ns,6
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,9674795.0,ns,7
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,12229525.0,ns,8
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,12730852.0,ns,9
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,9883705.0,ns,10
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,14980966.0,ns,11
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,12602644.0,ns,12
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,14322233.0,ns,13
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,19425994.0,ns,14
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,16798359.0,ns,15
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,16127925.0,ns,16
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,19778812.0,ns,17
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,21548402.0,ns,18
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,26736768.0,ns,19
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,21349692.0,ns,20
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,24559256.0,ns,21
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,26537158.0,ns,22
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,29962032.0,ns,23
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,29384203.0,ns,24
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,32801778.0,ns,25
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,28860276.0,ns,26
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,33539616.0,ns,27
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,34648272.0,ns,28
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,31292700.0,ns,29
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,39438817.0,ns,30
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,39899741.0,ns,31
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,41058400.0,ns,32
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,42761387.0,ns,33
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,45604832.0,ns,34
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,42610079.0,ns,35
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,55447636.0,ns,36
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,55169622.0,ns,37
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,49940354.0,ns,38
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,41722934.0,ns,39
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,51956857.0,ns,40
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,53121617.0,ns,41
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,56887009.0,ns,42
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,72635215.0,ns,43
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,71079335.0,ns,44
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,77687974.0,ns,45
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,72262895.0,ns,46
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,65949372.0,ns,47
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,63990272.0,ns,48
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,62913117.0,ns,49
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,67857970.0,ns,50
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,71396151.0,ns,51
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,64345390.0,ns,52
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,72104687.0,ns,53
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,72357800.0,ns,54
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,67378145.0,ns,55
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,80615722.0,ns,56
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,74678719.0,ns,57
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,73672867.0,ns,58
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,78611120.0,ns,59
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,81674976.0,ns,60
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,87818689.0,ns,61
mate_in_2,,https://lichess.org/analysis/4rk2/1bq2p1Q/3p1bp1/1p1n2N1/4PB2/2Pp3P/1P1N4/5RK1_w_-,,,86603928.0,ns,62
