group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,1922243.0,ns,1
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,2555590.0,ns,2
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,4779257.0,ns,3
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,5003972.0,ns,4
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,6239265.0,ns,5
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,7733877.0,ns,6
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,8747551.0,ns,7
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,10115054.0,ns,8
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,11375947.0,ns,9
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,14004943.0,ns,10
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,15335441.0,ns,11
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,15077723.0,ns,12
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,17226382.0,ns,13
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,17551007.0,ns,14
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,19036917.0,ns,15
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,22756994.0,ns,16
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,22523277.0,ns,17
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,23649261.0,ns,18
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,24374714.0,ns,19
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,26873101.0,ns,20
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,26396465.0,ns,21
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,29902226.0,ns,22
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,29189773.0,ns,23
mate_in_2,,https://lichess.org/analysis/4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8_w_-,,,31985681.0,ns,24
