group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,1706779.0,ns,1
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,3935383.0,ns,2
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,5457254.0,ns,3
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,5067936.0,ns,4
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,6559005.0,ns,5
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,10923808.0,ns,6
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,10623995.0,ns,7
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,12728592.0,ns,8
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,16219555.0,ns,9
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,14662882.0,ns,10
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,16721478.0,ns,11
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,21964422.0,ns,12
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,18897679.0,ns,13
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,24054719.0,ns,14
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,25902205.0,ns,15
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,24320032.0,ns,16
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,28604531.0,ns,17
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,27472378.0,ns,18
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,33138841.0,ns,19
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,31431863.0,ns,20
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,34222692.0,ns,21
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,35497251.0,ns,22
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,32737723.0,ns,23
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,35150136.0,ns,24
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,42919696.0,ns,25
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,41983953.0,ns,26
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,44469469.0,ns,27
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,44737581.0,ns,28
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,42538379.0,ns,29
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,42920797.0,ns,30
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,51709605.0,ns,31
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,54553238.0,ns,32
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,57147059.0,ns,33
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,69730944.0,ns,34
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,60020992.0,ns,35
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,65558350.0,ns,36
mate_in_2,,https://lichess.org/analysis/4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K_w_-,,,63146838.0,ns,37
