group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,1337670.0,ns,1
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,2688941.0,ns,2
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,4262925.0,ns,3
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,4640444.0,ns,4
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,5930012.0,ns,5
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,6905263.0,ns,6
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,8140828.0,ns,7
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,7447192.0,ns,8
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,7334086.0,ns,9
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,11271893.0,ns,10
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,13152592.0,ns,11
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,14291752.0,ns,12
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,13736222.0,ns,13
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,17078599.0,ns,14
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,16799084.0,ns,15
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,20186061.0,ns,16
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,17306411.0,ns,17
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,22096462.0,ns,18
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,18410569.0,ns,19
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,19332317.0,ns,20
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,22773398.0,ns,21
mate_in_2,,https://lichess.org/analysis/4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8_w_-,,,28833417.0,ns,22
