group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,1219061.0,ns,1
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,1614381.0,ns,2
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,2302116.0,ns,3
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,5051653.0,ns,4
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,5403572.0,ns,5
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,7386070.0,ns,6
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,8184411.0,ns,7
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,10521728.0,ns,8
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,10371720.0,ns,9
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,12828144.0,ns,10
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,11905197.0,ns,11
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,13655986.0,ns,12
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,14916148.0,ns,13
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,17105358.0,ns,14
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,15830095.0,ns,15
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,16388322.0,ns,16
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,17546180.0,ns,17
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,17136059.0,ns,18
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,16701438.0,ns,19
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,21908400.0,ns,20
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,19410774.0,ns,21
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,23001154.0,ns,22
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,25570283.0,ns,23
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,26133311.0,ns,24
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,25705190.0,ns,25
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,22179013.0,ns,26
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,30087310.0,ns,27
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,31031857.0,ns,28
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,27086859.0,ns,29
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,43907703.0,ns,30
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,47162166.0,ns,31
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,34208416.0,ns,32
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,45440679.0,ns,33
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,31929202.0,ns,34
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,37649289.0,ns,35
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,43991006.0,ns,36
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,44669241.0,ns,37
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,39364275.0,ns,38
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,43046759.0,ns,39
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,45542084.0,ns,40
mate_in_2,,https://lichess.org/analysis/5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4_w_-,,,35354974.0,ns,41
