group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,1705476.0,ns,1
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,2572416.0,ns,2
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,4540603.0,ns,3
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,4999425.0,ns,4
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,6168876.0,ns,5
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,6345385.0,ns,6
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,7196823.0,ns,7
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,10068551.0,ns,8
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,7640143.0,ns,9
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,12336253.0,ns,10
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,13938925.0,ns,11
mate_in_2,,https://lichess.org/analysis/5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4_w_-,,,14878367.0,ns,12
