group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,1675682.0,ns,1
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,2232509.0,ns,2
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,3851788.0,ns,3
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,5585373.0,ns,4
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,6305408.0,ns,5
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,8174499.0,ns,6
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,9183148.0,ns,7
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,10202799.0,ns,8
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,12345703.0,ns,9
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,13130741.0,ns,10
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,14480107.0,ns,11
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,17015631.0,ns,12
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,11619468.0,ns,13
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,17733166.0,ns,14
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,13933580.0,ns,15
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,19655560.0,ns,16
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,16266495.0,ns,17
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,21875068.0,ns,18
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,24237684.0,ns,19
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,21574654.0,ns,20
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,23796062.0,ns,21
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,23465246.0,ns,22
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,25506645.0,ns,23
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,25409741.0,ns,24
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,28677901.0,ns,25
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,28855909.0,ns,26
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,28898112.0,ns,27
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,32796801.0,ns,28
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,39790444.0,ns,29
mate_in_2,,https://lichess.org/analysis/5bk1/R4p1p/6p1/8/3p2K1/1Q4P1/1P3P1q/2r5_b_-,,,32302177.0,ns,30
