group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,1124952.0,ns,2
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,2105996.0,ns,4
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,3142545.0,ns,6
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,5011730.0,ns,8
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,5414949.0,ns,10
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,6310790.0,ns,12
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,8961412.0,ns,14
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,8854507.0,ns,16
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,9791650.0,ns,18
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,8965213.0,ns,20
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,12757586.0,ns,22
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,13512921.0,ns,24
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,15923632.0,ns,26
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,16698968.0,ns,28
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,17940324.0,ns,30
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,24194312.0,ns,32
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,21606293.0,ns,34
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,22634440.0,ns,36
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,20810157.0,ns,38
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,22843050.0,ns,40
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,23827995.0,ns,42
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,26771131.0,ns,44
mate_in_2,,https://lichess.org/analysis/5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8_w_-,,,26918937.0,ns,46
