group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,1340963.0,ns,1
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,1925290.0,ns,2
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,2299308.0,ns,3
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,3109846.0,ns,4
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,5251346.0,ns,5
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,4572514.0,ns,6
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,7664158.0,ns,7
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,10090573.0,ns,8
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,7132834.0,ns,9
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,7923371.0,ns,10
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,9390039.0,ns,11
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,13802446.0,ns,12
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,16676281.0,ns,13
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,16752184.0,ns,14
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,17830935.0,ns,15
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,17082000.0,ns,16
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,17893538.0,ns,17
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,19464611.0,ns,18
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,22406349.0,ns,19
mate_in_2,,https://lichess.org/analysis/5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1_w_-,,,22706063.0,ns,20
