group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,1503166.0,ns,1
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,1781978.0,ns,2
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,4790311.0,ns,3
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,3584258.0,ns,4
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,4443695.0,ns,5
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,6338379.0,ns,6
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,9289608.0,ns,7
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,9778330.0,ns,8
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,8000952.0,ns,9
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,12070231.0,ns,10
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,12824264.0,ns,11
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,14875454.0,ns,12
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,18565517.0,ns,13
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,12654656.0,ns,14
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,13483093.0,ns,15
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,15475681.0,ns,16
mate_in_2,,https://lichess.org/analysis/5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4_w_-,,,14249126.0,ns,17
