group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,1532865.0,ns,1
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,1848580.0,ns,2
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,2949426.0,ns,3
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,4112177.0,ns,4
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,6870794.0,ns,5
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,5675944.0,ns,6
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,8925783.0,ns,7
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,8745175.0,ns,8
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,13260268.0,ns,9
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,14080204.0,ns,10
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,15558268.0,ns,11
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,15995686.0,ns,12
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,17232139.0,ns,13
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,18415790.0,ns,14
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,18507494.0,ns,15
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,19235925.0,ns,16
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,21427919.0,ns,17
mate_in_2,,https://lichess.org/analysis/5r2/1qp2pp1/bnpk3p/4NQ2/2P5/1P5P/5PP1/4R1K1_w_-,,,21731632.0,ns,18
