group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,1722765.0,ns,1
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,2395790.0,ns,2
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,3419729.0,ns,3
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,5585310.0,ns,4
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,5737117.0,ns,5
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,6897160.0,ns,6
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,7976400.0,ns,7
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,9244248.0,ns,8
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,10437194.0,ns,9
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,11941250.0,ns,10
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,13554110.0,ns,11
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,14635652.0,ns,12
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,15257575.0,ns,13
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,16945738.0,ns,14
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,17338653.0,ns,15
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,18204386.0,ns,16
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,20385068.0,ns,17
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,20948490.0,ns,18
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,22550049.0,ns,19
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,25579864.0,ns,20
mate_in_2,,https://lichess.org/analysis/5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2_w_-,,,29704820.0,ns,21
