group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,1814377.0,ns,1
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,3907067.0,ns,2
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,5786748.0,ns,3
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,5369830.0,ns,4
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,6755489.0,ns,5
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,7962441.0,ns,6
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,9617712.0,ns,7
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,11138478.0,ns,8
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,14092403.0,ns,9
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,25929311.0,ns,10
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,14713930.0,ns,11
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,17012229.0,ns,12
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,20259868.0,ns,13
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,23088789.0,ns,14
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,25120676.0,ns,15
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,28305813.0,ns,16
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,25991213.0,ns,17
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,21964141.0,ns,18
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,22540066.0,ns,19
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,28070902.0,ns,20
mate_in_2,,https://lichess.org/analysis/5rk1/5ppp/pq6/1r3n2/2Q2P2/1P1N4/P1P1R1PP/4R2K_b_-,,,27532680.0,ns,21
