group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,1731287.0,ns,1
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,3300565.0,ns,2
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,4958947.0,ns,3
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,6748138.0,ns,4
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,8293114.0,ns,5
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,10011800.0,ns,6
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,9438672.0,ns,7
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,10450922.0,ns,8
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,11628281.0,ns,9
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,12918245.0,ns,10
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,15192559.0,ns,11
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,15630581.0,ns,12
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,16982048.0,ns,13
mate_in_2,,https://lichess.org/analysis/5rk1/pb2npp1/1pq4p/5p2/5B2/1B6/P2RQ1PP/2r1R2K_b_-,,,18958847.0,ns,14
